Name,Tm,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,FIP,WHIP,H9,BB,SO9,DateTime
Brad Keller,KCR,2,2,3.41,6,6,0,37.0,26,14,14,3,20,29,4.48,1.2429999999999999,6.3,20,7.1,2019-05-04 10:49:57
Joe Kelly,LAD,1,2,9.0,11,0,0,12.0,19,12,12,3,2,11,5.3,1.75,14.3,2,8.3,2019-05-04 10:49:57
Merrill Kelly,ARI,2,2,3.94,5,5,0,29.2,29,13,13,5,12,27,4.72,1.382,8.8,12,8.2,2019-05-04 10:49:57
Clayton Kershaw,LAD,1,0,2.25,3,3,0,20.0,11,5,5,2,4,21,2.93,0.75,5.0,4,9.5,2019-05-04 10:49:57
Yusei Kikuchi,SEA,1,1,4.54,7,7,0,33.2,35,21,17,5,8,25,4.29,1.2770000000000001,9.4,8,6.7,2019-05-04 10:49:57
Nick Kingham,PIT,1,0,4.35,7,0,1,10.1,8,5,5,1,4,10,3.62,1.161,7.0,4,8.7,2019-05-04 10:49:57
Corey Kluber,CLE,2,2,5.81,6,6,0,31.0,37,23,20,4,15,35,4.2,1.6769999999999998,10.7,15,10.2,2019-05-04 10:49:57
Adam Kolarek,TBR,1,0,1.74,15,0,0,10.1,10,2,2,0,3,8,2.75,1.258,8.7,3,7.0,2019-05-04 10:49:57
Eric Lauer,SDP,2,3,4.41,6,6,0,32.2,33,17,16,5,10,29,4.27,1.3159999999999998,9.1,10,8.0,2019-05-04 10:49:57
Mike Leake,SEA,2,3,4.98,6,6,0,34.1,45,23,19,10,7,29,6.02,1.515,11.8,7,7.6,2019-05-04 10:49:57
Wade LeBlanc,SEA,2,0,4.5,3,3,0,16.0,21,10,8,2,5,12,4.2,1.625,11.8,5,6.8,2019-05-04 10:49:57
Jose Leclerc,TEX,1,1,7.27,11,0,5,8.2,9,7,7,2,8,11,7.4,1.962,9.3,8,11.4,2019-05-04 10:49:57
Jon Lester,CHC,1,1,2.37,4,4,0,19.0,17,5,5,3,6,19,4.13,1.2109999999999999,8.1,6,9.0,2019-05-04 10:49:57
Jonathan Loaisiga,NYY,1,0,2.7,3,2,0,10.0,7,3,3,1,6,10,4.23,1.3,6.3,6,9.0,2019-05-04 10:49:57
Jorge Lopez,KCR,0,2,5.08,6,6,0,33.2,36,21,19,7,12,31,5.24,1.426,9.6,12,8.3,2019-05-04 10:49:57
Pablo Lopez,MIA,2,3,4.44,5,5,0,26.1,26,14,13,2,5,29,2.83,1.177,8.9,5,9.9,2019-05-04 10:49:57
Reynaldo Lopez,CHW,1,3,7.46,5,5,0,25.1,34,22,21,7,14,25,6.53,1.895,12.1,14,8.9,2019-05-04 10:49:57
Joey Lucchesi,SDP,3,2,4.33,5,5,0,27.0,26,13,13,2,9,29,2.95,1.296,8.7,9,9.7,2019-05-04 10:49:57
Seth Lugo,NYM,1,0,4.6,11,0,0,15.2,15,12,8,2,4,19,3.52,1.213,8.6,4,10.9,2019-05-04 10:49:57
Jordan Lyles,PIT,2,1,2.05,4,4,0,22.0,18,6,5,3,5,21,3.68,1.045,7.4,5,8.6,2019-05-04 10:49:57
Lance Lynn,TEX,2,2,6.51,5,5,0,27.2,35,20,20,3,8,24,3.89,1.554,11.4,8,7.8,2019-05-04 10:49:57
Kenta Maeda,LAD,3,2,5.2,5,5,0,27.2,27,16,16,5,13,25,5.08,1.446,8.8,13,8.1,2019-05-04 10:49:57
Tyler Mahle,CIN,0,3,4.5,5,5,0,28.0,32,14,14,4,7,26,3.88,1.393,10.3,7,8.4,2019-05-04 10:49:57
Nick Margevicius,SDP,2,2,3.6,5,5,0,25.0,20,10,10,3,7,23,3.93,1.08,7.2,7,8.3,2019-05-04 10:49:57
